,Costo,Ubicacion,No_habitaciones,No_banios,No_estacionamiento,No_metros,Descripcion
11,16000,Reserva Territorial Atlixcáyotl,3,2.0,2.0,170.0,"eg40 departamento en renta en fraccionamiento cerrado con vigilancia las 24 horas del día 7 días de la semana. 
la encomienda de la noria 


ubicado a 5 minutos la plaza comercial de angelópolis y solesta 
cerca del sam’s y costco 

lindas áreas verdes con juegos infantiles 

descripción 
1 recámara principal con vestidor y baño privado
2 recámaras secundarias que comparten un baño completo
recibidor
sala
comedor
cocina integral
½ baño de visitas
cuarto de lavado y planchado 
cuarto de servicio con baño completo
duela de madera
cisterna propia de 10,000lts
tanque hidroneumático
bodega
2 lugares de estacionamiento techados
áreas comunes:
elevador
terraza
jardín privativo
170mts2 habitables y 230mts2 total

cuota de mantenimiento no incluida en la renta

$17,000 con mantenimiento incluido

contáctanos somos tu mejor opción....

jackie maciel 
2224.55.55.81 
 
https://www.facebook.com/ventasempiregroup/?ref=bookmarks
https://emprendedordigital360.com/jackie-maciel/
https://www.proxio.mx/px/ventasempiregrouppuebla"
12,18700,Reserva Territorial Atlixcáyotl,3,2.0,,,"¡gran oportunidad! 
vive en una de las mejores zonas de puebla, privilegiada por su ubicación, a un par de minutos del corazón de zona angelópolis, y con fácil acceso a principales vialidades que conectan fácilmente con el resto de la ciudad! 

características del departamento
ubicado en piso 4 (acceso con elevador, solo 2 departamentos por piso) 
 superficie: 202m2 

* recibidor
* espacio para sala comedor
* cocina cerrada, conectada con barra de servicio
* recámara principal con vestidor y baño completo 
* 2 recámaras secundarias con closet 
* baño completo compartido para servicio de las recámaras secundarias. 
* área de lavado y cuarto de servicio con baño completo 
* estacionamiento techado para 2 coches

todas las ventanas cuentan con persianas.

 renta: $18,700 mensuales, mantenimiento incluido 

del fraccionamiento: 
vigilancia 24h con cámaras de seguridad en calles
extensas áreas verdes con juegos infantiles

ubicado a tan solo 2 minutos de la 31 poniente, a 3 minutos del circuito juan pablo ii  y 4 minutos de centro comercial angelópolis. easybroker id: eb-gv7661"
13,23500,Reserva Territorial Atlixcáyotl,2,2.0,2.0,,"excelente ubicación y amenidades! frente al parque del arte.
pertenece a torre de 36 niveles 
cuenta con: acceso directo del elevador, sala comedor, estancia, cocina integral abierta, 2 recamaras, recámara principal con baño completo y vestidor, baño secundario completo compartido, medio baño de visitas, cuarto de lavado,  2 cocheras techadas, terraza techada, bodega, vigilancia 24 hrs., roof garden común.

amenidades: en planta baja alberca, asoleadores, áreas verde, área de fiestas, área infantil, área de fogata y en nivel 34 roof garden con salón de fiestas y terraza
renta incluye mantenimiento"
14,21000,Corredor Comercial Desarrollo Atlixcayotl,2,2.0,2.0,100.0,hermoso departamento amueblado
15,13500,La Paz,3,4.0,2.0,,"amplio y funcional departamento en la paz
totalmente amueblado, ideal para estudiantes o personas que busquen un lugar amplio para habitar, en una zona céntrica y exclusiva.
ubicado atrás de la avenida juárez a la altura del starbucks.
tercer piso
caracteristicas:
tres recamaras, todas con closet, la principal con baño completo,
la segunda recamara con closet y baño completo
la tercera recamara con closet únicamente y baño exterior
área de servicio con centro de lavado y closet de servicio
cuarto de servicio con baño completo, closet y cama individual
cocina integral con dos tarjas y barra desayunador
sala comedor
elevador a piso
baño de servicio con preparación para regadera
closet de blancos amplio
pisos laminados
preparación para cable y teléfono
cortinas en todo el departamento incluyendo recámara y sala comedor estacionamiento dos autos
cisterna, luz exterior, vigilancia 24/7,
áreas comunes jardineadas
portón eléctrico,
ubicado en el tercer piso
superficie 120 m2 habitables

todas las recámaras cuentan con camas de tamaño matrimonial y queen size."
16,13500,Santa Cruz Buenavista Norte,2,2.0,2.0,,"departamento en renta en zavaleta amueblado y equipado, perfecto para estudiantes.


excelente departamento  amueblado y equipadísimo
cuenta con  2 recamaras con closet, la principal con baño
recámara secundaria con baño exterior
sala
comerdor, 
cocina integral equipada
patio de servicio 
area de lavado


todos los servicios incluidos:
agua
luz
mantenimiento
internet
cable

se encuentra,  totalmente  amueblado y equipado con lavadora, secadora, electrodomésticos, refrigerador, microondas, trastes, etc.

ubicado en primer piso y cuenta con dos cajones  de estacionamiento techados para sus inquilinos

excelente ubicación
inmejorables vistas  en sus terrazas"
17,16000,La Paz,2,2.0,2.0,120.0,"departamento completamente amueblado la paz 
2 recamaras 
2 baños 
sala 
comedor
cocina integral 
jardin grande 
seguridad 24/7
2. lugares de estacionamiento"
18,20000,Centros Comerciales Desarrollo Atlixcayotl,2,2.0,2.0,,"estrena hermoso departamento en renta amueblado en boudica frente plaza  angelopolis puebla estrella de puebla y con increibles vistas de la ciudad.
construcción: 89 m2
nivel 18.
consta: sala, comedor, cocina con estufa, cuarto de lavado, recámara con closet y baño compartido con visita y recámara principal con vestido y baño completo, estacionamiento para 2 autos.
amenidades: carril de nado con alberca, jacuzzi, media cancha de basket ball, salón de yoga, sala de juntas etc.
precio renta: $20,000 incluye mantenimiento
teléfono contacto: (222) 647-7741"
19,11000,Sta Cruz Buenavista,2,2.0,2.0,,"departamento en renta atrás superama zavaleta
$11,000 de renta 
2 recámaras, 2 baños completos con sistema de hidromasaje en regaderas, sala de tv, sala - comedor, cocina integral, cuarto de lavado, 2 terrazas y 2 cajones de estacionamiento. 
no mascotas 
el departamento se entrega recién pintado, con persianas black out y en completo estado funcional.
el edificio cuenta con elevador, sistema de vigilancia, acceso controlado a su piso mediante huella digital, área de roof garden con asador , salón de juegos y baños.
para verlo es mediante previa cita.
requisitos: 
•mes de depósito y mes de renta por adelantado.
•contrato por 1 año. mínimo 
•copia de identificación oficial ( incluyendo aval)
•comprobante de domicilio (incluyendo aval)
•aval con garantía en la ciudad de puebla (certificado de libertad de gravamen y copia certificada de la escritura)"
20,10500,Plaza Reforma,3,2.0,2.0,110.0,"departamento en 2do piso, tiene garaje para 2 autos, 3 recamaras con closet, 2 baños completos, sala/comedor, cocina integral que tiene refrigerador y microondas,  patio de servicio.   
el precio de renta incluye pago de mantenimiento mensual"
21,7700,Bello Horizonte,3,2.0,2.0,,"departamento en renta en tercera  planta  (cuenta con elevador) con excelente iluminación. todo a la mano como alimentos, ferreterías, farmacias etc. ..

3 habitaciones, sala de tv , 2 baños completos, cocina, sala comedor, zotehuela, área de tendido y 2 lugares de estacionamiento.

acceso con porton eléctrico y peatonal.

edificio de solo 16 departamentos. 

mantenimiento de $650"
22,10000,Centro Recreativo Agua Azul,2,2.0,1.0,114.0,"excelente departamento ubicado en el 3er piso, ubicación inigualable, prados agua azul, 11 sur y circuito juan pablo ii.

cerca a principales vialidades escuelas, centros comerciales & mas.

terreno : 112 m2         construccion : 118 m2

tercer nivel: sala comedor / cocina integral / área de servicio recamara 1 amplia con closet

recamara 2 con closet cada recamara cuenta con baño completo para su mayor comodidad

pisos laminados & mas.

amenidades: recibidor, areas verdes, elevador vigilancia
renta: $10,000 más mantenimiento"
23,11000,Puebla,2,2.0,2.0,92.0,"exclusivo departamento a estrenar en renta
torre nidum

excelentes vías de acceso
gran vista a los volcanes y a malinche
amenidades de lujo
gran costo/beneficio
a 5 minutos de angelópolis

- 92 m2
- sala amplia
- comedor amplio
- cocina integral equipada
- 2.5 baños completos
- 2 recámaras (cada una con baño completo)
- área de lavado
- 2 lugares de estacionamiento 

amenidades:
gimnasio
alberca climatizada
salón de usos múltiples
área infantil
lounge con vista a la ciudad 
áreas verdes"
24,15000,Corredor Comercial Desarrollo Atlixcayotl,2,2.0,,,"superficie: 70 m2

 sala
comedor
terraza
2 recamaras con closet
2 baños completos

 equipamiento:
cocina integral / refrigerador
estufa eléctrica  / alacena
persianas en todas las áreas
amenidades:
lavandería / valet parking
lounge/ salón de eventos / sala vip para juntas
salón de juegos (billar, mesas, videojuegos) 
gimnasio  / terraza exterior con chimenea 
alberca con carril de nado 
asoleadero y asadores
mantenimiento $ 2,862.00"
25,17000,Corredor Comercial Desarrollo Atlixcayotl,3,3.0,1.0,,"se renta amueblado 

superficie: 150 m2  
3 recamaras cada una con baño 
amplios closet
sala  / comedor
amplia cocina 
desayunador 
área de lavado

3 baños completos 
cochera para 1 auto
portón automático
espacios amplios 

incluye servicios
agua
gas 
luz
internet
tv por cable"
26,25000,Centro,3,2.0,2.0,,"superficie: 170 m2


3 recamaras
 2 baños completos

sala 
comedor
doble altura
 
 roof garden
cocina
área de lavado
estacionamiento para 
1 auto

totalmente exclusivo
mantenimiento incluido
no mascotas"
27,4500,Puebla,2,1.0,,,"opción 1:
2 habitaciones 
1 baño 
agua y luz incluida
 $4,500


opción 2:
3 habitaciones
 1 baño
agua y luz incluida
 $5,300"
28,8000,Sta Cruz Buenavista,2,2.0,2.0,80.0,"super lindo departamento atras de superama zavaleta en complejo cerrado, con vigilancia y elevador sala-comedor, cocina integral, area de servicio, 2 recámaras, la principal con baño. y baño que comparten las secundarias, persianas. 2 lugares de estacionamiento. a 2 minutos de recta a cholula, camino real a cholula y blvd atlixco. a 7 minutos de universidad iberoamericana. citas 2221259460"
29,6900,Zona Sin Asignación De Nombre De Col 52,3,2.0,2.0,100.0,"lindo departamento dentro de fraccionamiento cerrado con vigilancia y áreas verdes, cuenta con 2 cajones de estacionamiento, segundo nivel, área de sala, comedor, cocina independiente con amplia alacena, patio de servicio, gas natural, recámara principal con baño, 2 recamaras secundarias con baño que comparten. incluye mantenimiento.  excelente oportunidad"
30,10000,Centro,2,1.0,,90.0,"dicon inmobiliaria renta departamento amueblado en el centro de puebla en edificio coatepec 6 norte
totalmente amueblados, listo para habitar.

$10,000

superficie de terreno:90 m² 
construcción:90 m²

2 recámaras principal con cama king size, secundaria con dos camas individuales
1 baño completo
1 medio baño
sala comedor
cocina integral equipada

área común terraza
área de lavado con lavadora y secadora.
edificios con excelente mantenimiento y seguridad.
la renta incluye los servicios de luz, gas, agua e internet."
31,10000,Centros Comerciales Desarrollo Atlixcayotl,2,2.0,1.0,70.0,"***departamento angelopolis cerca estrella de puebla c/sin muebles***

excelente ubicación enfrente centro comercial
angelopolis / cerca  estrella de puebla / ibero hospital puebla/hospital angeles 
2 recámaras, 2 baños, cocina con cocina integral
cochera 1 auto"
32,6000,Barrio De Santiago,3,1.0,,,"en la zona de upaep a 2 cuadras de avenida juárez y 10 minutos de plaza comercial angelopolis de encuentra este departamento amplio para estudiantes o familias que recién comienzan.

departamento de 2 o 3 recamaras 
sala
comedor
cocina con tarja (no estufa)
baño completo 

renta desde $6,000.00 

servicios no incluidos"
33,6900,Las Mercedes,2,2.0,1.0,,"departamento para estrenar en desarrollo completamente nuevo a 3 min. de lomas de angelópolis, la vista, 5 min. de tec de monterrey, universidad anahuac, ibero y 12 minutos de udlap
renta $6,900 + mantenimiento de $650 
(no incluye servicios de luz, agua, internet, gas)

2 recámaras (ó 1 estudio y 1 recámara)
2 baños completos
sala-comedor
cocina con barra de granito, estufa y horno
area de lavado
acabados residenciales: canceles de baño en vidrio templado, muebles de baño y accesorios interceramic y castel
bodega independiente
1 cajón de estacionamiento
seguridad 24 horas
elevador
mascotas pequeñas ok
incluye persianas 

el departamento se encuentra en 4to nivel

el desarrollo cuenta con áreas verdes, estacionamiento de bicicletas y acceso controlado."
34,9000,La Paz,2,2.0,1.0,100.0,"renta departamento amueblado muy acogedor amplio y muy bien ubicado a 8 minutos del centro histórico
2 recamaras
2 baños
sala comedor
cocina
terraza
elevador
1 estacionamiento
el departamento está totalmente amueblado con blancos y platos, ollas, lavadora secadora cafetera
el precio incluye 2 días de limpieza a la semana"
35,7650,El Patrimonio,3,2.0,,,"sala comedor 
cocina, 
área de lavado techada. 
con el plus de un poco de jardín
3 recamaras con closet, 
2 baños completos
2 cajones de estacionamiento.
todo el departamemto tiene persianas , y mosquiteros.
vigilancia las 24 hrs los 365 días.

renta $7650.00 incluido mantenimiento
aval de puebla ó póliza.
si quieres verlo , escríbeme a mi whats ó  háblame!
2221 921982
mary carmen bojalil"
36,11500,Concepción Las Lajas,3,2.0,2.0,,"departamento en renta frente a parque del arte 
torre de 4 departamentos con elevador y portón eléctrico 
excelente ubicación, a unos pasos de parque del arte, atrás de costco, cerca de centros comerciales, universidades, restaurantes...
características:
- sala comedor
- cocina integral con barra
- balcón y terraza 
- área de lavado
- recámara principal con vestidor y baño completo
- 2 recámaras secundarias 
- 1 baño 
- cochera para 2 autos

**incluye agua y mantenimiento

agenda tu cita!"
37,9500,Gabriel Pastor 1Ra Secc,3,2.0,1.0,,"completamente equipado, incluye agua y mantenimiento, cuenta con:
- sala, comedor 
- cocina 
- patio de lavado 
-baño completo 
- 3 recámaras con closet 

excelentemente ubicación
rodeado de vialidades principales como 11 sur, blvd valsequillo, 9 sur, muy cerca de 31 pte, trasladarte a cualquier área de la ciudad te tomará muy poco tiempo ya sea en auto o en transporte público pues cuenta con 2 lineas de metrobus y rutas varias.

centros comerciales de a 5 a 15 min : plaza dorada, la noria,triangulo las animas, angelopolis.

tienda de autoservicio a 2 calles bodega aurrera

hospitales cerca: angelopolitano y hospital universitario

escuelas: buap medicina, loyola, américano, upaep

*contamos con servicio de facturación y adicionales en base a tus necesidades*"
38,7500,Sta Cruz Buenavista,2,2.0,2.0,100.0,"renta depto en torre zavaleta 

junto a superama cerca de ibero udlap tec de monterrey plaza angelopolis  !!!!! 

excelente ubicación

* 2 recamaras

*2 baños completos

* 2 lugares de autos

* roofs garden

* áreas verdes

* vigilancia 

rentar en 7,500.....!
gruporedin@gmail.com 
(222) 912-6269"
39,10500,La Paz,3,2.0,2.0,115.0,"rento departamento en colonia la paz

excelente ubicación junto al culinario y universidades !!!!! 
 
**160 metros 
 * 3 recamaras
 * 2 baños completos 
  * amplia cocina 
 * cuarto de lavado 
 * roofs garden 
 * 2 lugares de autos 
 * salas comedor amplios 
 * balcón 

rentar en $ 10,500....! 
gruporedin@gmail.com 
(222) 912-6269"
40,14000,Reserva Territorial Atlixcáyotl,2,3.0,3.0,125.0,"*renta de depto torre arts angelopolis* 

excelente ubicación 
en zonas angelopolis (cúmulo de virgo) 

* 150 metros habitables

* 2 recamaras amplias 

* 3 baños 

* salas , comedor , terraza, cocina, cuarto de servicio con bañoo completo 

*elevador 

*alberca techada 

* cancha de padel

* gimnasio

*estacionamiento 2 autos mas visitas 

*vista panorámica inmejorable los volcanes

* ubicado cerca de universidad ibero tec de monterrey upaep udlap 

rentar 14,000....!
 sin mantenimiento 

(con opcion amueblado y de 3 recamaras)
gruporedin@gmail.com
(222) 912-6269"
41,10000,Centros Comerciales Desarrollo Atlixcayotl,2,2.0,2.0,100.0,"renta depto amueblado junto la estrella de angelopolis 

excelente ubicación cerca d e ibero tec de monterrey upaep frente plaza angelopolis 

*2 recamaras amuebladas
(opción de3 recámaras) 

*2 baños completos

*2 lugares de autos

*2 lugares de autoo

 * roofs garden

* salón de eventos

* áreas verdes

* vigilancia

rentar en 10,000 amueblado.....!
gruporedin@gmail.con
(222) 912-6269"
42,16900,Sta Cruz Buenavista,2,2.0,2.0,108.0,"departamento en renta con acceso inmediato a calzada zavaleta, muy cerca de plazas comerciales, vías rápidas de comunicación, hospitales y escuelas, zona muy tranquila de la ciudad.
2 recamaras con closet y baño completo
sala
comedor
cocina integral equipada
gimnasio, terraza, elevador, área de recepción
2 cajones de estacionamiento"
43,16000,San José Del Puente,2,2.0,2.0,100.0,"exclusivo departamento amueblado en renta 
torre huz designer house
zavaleta y san jose del puente

inmejorable ubicación (atrás de club britania zavaleta)
excelentes vías de acceso
gran vista a los volcanes
mantenimiento incluido
amenidades de lujo
condominio estilo industrial 

- 100 m2
- piso 2 y 8
- sala amplia
- comedor amplio
- cocina integral equipada
- 2 baños completos
- 2 recámaras (principal con baño completo)
- sala de tv
- área de lavado
- 2 lugares de estacionamiento 
- el departamento cuenta con persianas

amenidades:
- alberca climatizada
- gimnasio
- salón de usos múltiples
- business center
- sala lounge
- jardines y área de mascotas
- pet friendly"
44,19900,Corredor Comercial Desarrollo Atlixcayotl,3,3.0,2.0,210.0,"departamento muy bien ubicado en vía principal con fácil acceso en torre de departamentos, cerca de zona angelopolis, plazas comerciales, vigilancia 24 horas, hospitales, escuelas.
3 recamaras con baño completo y vestidor
sala, comedor, cocina integral equipada
cajones de estacionamiento para 2 autos
roof garden, bodega, área de recepción"
45,10500,Benito Juárez,3,1.0,2.0,,"departamento con buena ubicación se encuentran las avenidas atlixcayotl, niño poblano,bulevar atlixco, escuelas como la ibero, tecnológico de monterrey, anahuac.
cuenta con tres recamaras comparten baño completo, sala, comedor, cocina integral, área de lavado,dos cajones de estacionamiento, elevador, gym, salón, vigilancia las 24 horas."
46,19000,Centro Comercial Angelopolis,2,2.0,1.0,,"•torre uma 
•enfrente de solesta 
•2 recamaras y mini cuarto de servicio
•sala 
•comedor
•2 baños
•alberca, spa, vapor, asadores, roof garden y camastros piso 31 
•pet center
•cafeteria de cortesia
•bar 
•concierge
•entrada privada a angelopolis
•elavador a solesta
•acabados de marmol y granito
•regaderas en area comun
•seguridad 24/7 
•acceso controlado con parkimovil al piso"
47,18000,Corredor Comercial Desarrollo Atlixcayotl,2,2.0,2.0,,"loft en torre elipsis en angelópolis
dos recamaras con dos baño
recamara principal con vestidor y baño
recamara secundaria con closet y baño
sala de tv
sala comedor 
medio baño de visitas
cocina abierta
área de lavado
amenidades
alberca techada
gimnasio
salon de yoga
salon de eventos
área verde
área de spinning
sky bar
bussines center
elevador
vigilancia 24 horas
renta $18000"
48,15000,La Paz,2,2.0,2.0,,"departamento  en la paz
dos  recamaras con baño y vestidor 
recamara principal con vestidor y baño
terraza amplia  
sala comedor 
medio baño de visitas 
cocina integral  abierta
cuarto de lavado
elevador 
estacionamiento techado para dos coches
vigilancia 24 horas
roof garden
bodega
renta $150000"
49,11000,Libertad,2,2.0,1.0,,"departamento en renta en puente de méxico sobre forjadores cerca de zavaleta  sin amueblar
dos recámaras 
2 baños completos,
sala comedor
cocina integral con cuarto de lavado,
dos lugares de estacionamiento
bodega
roof garden
elevador
vigilancia 24 horas
renta $11000
póliza jurídica"
50,25000,Reserva Territorial Atlixcáyotl,3,2.0,2.0,,"departamento en renta en torre artema  
sin amueblar
enfrente del parque del arte  en angelopolis
excelente ubicacion 
tres recámaras
recámara principal con baño y vestidor
recámaras  secundaria con closet  baño compartido
sala comedor con vista espectacular al parque del arte
cocina integral abierta
área de lavado
cuarto de servicio con baño completo
amenidades
alberca
salón para yoga
terraza para eventos
bussines center
cafetería
vigilancia 24 horas
dos lugares de estacionamiento
renta $25,000 con mantenimiento incluido 
a tratar"
51,7000,Jardines De San Manuel,2,1.0,1.0,,"amueblado
está cerca de la universidad (buap) .
en calle privada con vigilancia.
ubicado en segundo nivel con 2 recamaras, sala, comedor, un baño completo, cocina integral, área de servicio, área de lavado, cochera techada con portón eléctrico para un auto. con casera de vigilancia.
cuenta con luz, gas natural y agua.
estos servicios serán pagados por el inquilino."
52,9800,Reforma,2,2.0,2.0,,"departamento exclusivo ubicado en el corazón de la ciudad, con vista privilegiada a los volcanes.  en un complejo de 27 departamentos con destacada arquitectura funcional.

características del departamento:

• 75m2 de construccion
• estancia sala-comedor.
• dos recamaras con closet de madera de excelente calidad.
• dos baños completos con canceles de vidrio templado.
• cocina integral con cubierta de granito.
• área de lavado.
• calentador
• ventanas con película de seguridad.
• vista a los volcanes


beneficios del edificio:

• lobby.
• baños para visitas
• elevador.
• área verde con asador.
• puerta de acceso al edificio con chapa electromagnetica
• portón eléctrico.
• vigilancia 24hrs.
• dos cajones de estacionamiento.
• circuito cerrado

informes: (222) 647-7729."
53,12500,Concepción Las Lajas,2,2.0,,,"departamento muy bien ubicado a unos pasos de parque del arte, si buscas rápido acceso a  zavaleta, angelopolis, boulevard atlixco y la estrella este es un excelente lugar para vivir; está en tercer nivel al entrar encontrarás una espaciosa sala comedor y a la izquierda se encuentra la cocina con acabados de lujo, a la derecha esta un baño completo y enseguida la habitación secundaria, más adelante un vitral que permite una buena iluminación a todo el departamento y al final la habitación principal con vestidor y baño completo, cuenta con roof garden y  dos lugares de estacionamiento, circuito cerrado. easybroker id: eb-hf2369"
54,10000,El Carmen,3,3.0,,,"amplios departamentos con luz natural, cómodos, con terraza o jardín,  nuevos, privacidad al ser solo 2 departamentos...
el departamento de planta baja cuenta con cochera para 1 auto y una cochera para moto o carro pequeño.
cuenta con 90m2 de jardín en escuadra, las 2 recamaras tienen vista y acceso a él. cada recámara tiene baño y closet.
sala, comedor, cocina integral abierta y área de lavado, medio baño de visitas. $11,500.00
el departamento en planta alta cuenta con sala, comedor, cocina integral abierta, 3 recámaras, 2 baños completos, terraza de 35m2, área de lavado.  2 cajones de estacionamiento $12,500.00
ubicado en una privada, fácil acceso, a unos metros del boulevard 5 de mayo, cerca del centro histórico, plaza dorada, paseo san francisco
póliza de arrendamiento como requisito
se aceptan mascotas. easybroker id: eb-hf7999"
55,20500,Reserva Territorial Atlixcáyotl,2,2.0,2.0,,"departamento de lujo en torre artema 
acabados de primera 
ubicacion inmejorable 
cerca de universidades y plazas comerciales 

el departamento:
140 mts2  privativos, con vista al jardín del arte.
2 recamaras. una con closet y la recamara principal con vestidor y baño.
2 baños completos y 1 medio baño.
cocina integral
1 cuarto de lavado y secado.
2 cajones de estacionamiento.
1 bodega de 3 mts2

amenidades de la torre artema:
pet friendly con servicio de veterinario, cuidado y pension de mascotas
area con clases de yoga con vista al jardín
area para servicio de masajes
jardin con área para eventos, fogatero y área para niños.
alberca semi olímpica, con carriles de nado
baño sauna con área de vestidores
ludoteca
area de lavadoras y secadoras para condominos
estacionamiento para invitados
recepcion con servicio de cafetería gratuita para condominos
area privada de oficinas."
56,15500,San José Del Puente,2,2.0,2.0,,"torre huz / gran ubicación y vías acceso 
depto. a estrenar 
2 recamaras 
2 baños  
cocina integral 
área de lavado 
sala / comedor 
amenidades 
2 lugares estacionamiento 
$15,500
amueblado 
*mtto incluido"
